행정동코드,자치구,행정동,성별,연령대,총인구수,1인가구수,집 추정 위치 평일 총 체류시간 미추정 인구수,집 추정 위치 평일 총 체류시간,"집 추정 위치 평일 총 체류시간: 4분위수, 25%","집 추정 위치 평일 총 체류시간: 4분위수, 50%","집 추정 위치 평일 총 체류시간: 4분위수, 75%",집 추정 위치 휴일 총 체류시간 미추정 인구수,집 추정 위치 휴일 총 체류시간,"집 추정 위치 휴일 총 체류시간: 4분위수, 25%","집 추정 위치 휴일 총 체류시간: 4분위수, 50%","집 추정 위치 휴일 총 체류시간: 4분위수, 75%",배달 서비스 사용 미추정 인구수,배달 서비스 사용일수,"배달 서비스 사용일수: 4분위수, 25%","배달 서비스 사용일수: 4분위수, 50%","배달 서비스 사용일수: 4분위수, 75%",배달_브랜드 서비스 사용 미추정 인구수,배달_브랜드 서비스 사용일수,"배달_브랜드 서비스 사용일수: 4분위수, 25%","배달_브랜드 서비스 사용일수: 4분위수, 50%","배달_브랜드 서비스 사용일수: 4분위수, 75%",배달_식재료 서비스 사용 미추정 인구수,배달_식재료 서비스 사용일수,"배달_식재료 서비스 사용일수: 4분위수, 25%","배달_식재료 서비스 사용일수: 4분위수, 50%","배달_식재료 서비스 사용일수: 4분위수, 75%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,1,75,303.68,83.67,5.76,890747.34,733666.67,970633.33,1065200,5.76,296442.51,236266.67,311766.67,366033.33,295.05,10.28,3.33,5,11.67,300.8,1.67,1.67,1.67,1.67,303.68,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,2,20,362,122.5,0,681726.9,531066.67,709033.33,870566.67,2.5,210345.37,146333.33,211866.67,270000,72.4,13,3.33,10,18.33,352.01,1.67,1.67,1.67,1.67,357.01,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,2,25,365,134.49,5.7,617959.08,459066.67,569900,749033.33,5.7,185800,133433.33,178800,223333.33,34.22,16.7,6.67,13.33,25,345.99,2.17,1.67,1.67,1.67,355.49,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,2,30,428,139.77,1.96,643486.79,469600,599533.33,831833.33,1.96,198400.46,125900,186566.67,265833.33,74.61,16.43,6.67,11.67,25,394.62,1.96,1.67,1.67,1.67,414.26,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,2,35,404,118.92,0,677606.86,501633.33,644833.33,874166.67,1.98,219653.53,142733.33,221333.33,289300,87.14,13.96,5,11.67,20,370.33,3.14,1.67,3.33,5,394.1,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,2,40,410,87.02,4.08,699074.8,519633.33,693833.33,886400,6.79,225606.96,154266.67,228333.33,290166.67,120.93,13.63,5,10,20,371.95,2.68,1.67,1.67,3.33,392.34,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,2,45,420,96.91,3.02,730084.9,535466.67,741466.67,931066.67,4.53,238130.18,164766.67,245700,300600,166.19,12.88,3.33,8.33,20,389.78,3.17,1.67,3.33,5,409.42,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,2,50,389,60.15,1.36,746731.12,553633.33,743933.33,925266.67,1.36,246596.04,181766.67,239566.67,313800,229.06,10.21,3.33,5,13.33,368.67,3.33,1.67,3.33,5,383.58,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,2,55,377,60.26,9.31,762462.73,585266.67,775333.33,949733.33,9.31,242927.29,176633.33,243266.67,308266.67,276.16,7.1,1.67,3.33,10,373.9,3.33,1.67,1.67,5,372.35,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,2,60,288,50.83,1.37,798328.07,646133.33,830433.33,977833.33,4.11,251912.88,184733.33,255233.33,321033.33,237.26,7.88,1.67,5,8.33,286.63,1.67,1.67,1.67,1.67,285.26,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,2,65,247,50.36,1.36,805228.91,630266.67,857133.33,991900,1.36,253864.09,198700,255366.67,323466.67,230.71,6.81,3.33,5,8.33,247,0,0,0,0,244.29,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,2,70,209.47,40.66,0,849044.36,765400,903433.33,1001900,1.57,274038.13,213933.33,289333.33,336033.33,200.02,3.06,1.67,1.67,3.33,209.47,0,0,0,0,207.89,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
